id,champions_id,league_type,round_id,round,tier,round_number,breakthrough_number_1,breakthrough_number_2,entry_number,free_entry_number
632,46,1,1,1,2,5,3,0,4,0
633,46,1,2,2,1,5,1,0,4,0
634,46,1,3,2,2,5,3,1,4,0
635,46,1,4,3,1,1,0,0,0,1
636,46,1,5,3,2,1,0,0,0,1
637,46,1,6,3,0,0,0,0,0,0
638,46,2,0,0,0,0,0,0,0,0
639,46,2,1,1,2,5,3,0,4,0
640,46,2,2,2,1,5,1,0,4,0
641,46,2,3,2,2,5,3,1,4,0
642,46,2,4,3,1,1,0,0,0,1
643,46,2,5,3,2,1,0,0,0,1
644,46,2,6,3,0,0,0,0,0,0
