id,hair_color_r1,hair_color_r2,hair_color_g1,hair_color_g2,hair_color_b1,hair_color_b2,hair_toon_color_r1,hair_toon_color_r2,hair_toon_color_g1,hair_toon_color_g2,hair_toon_color_b1,hair_toon_color_b2,mayu_color_r1,mayu_color_r2,mayu_color_g1,mayu_color_g2,mayu_color_b1,mayu_color_b2,mayu_toon_color_r1,mayu_toon_color_r2,mayu_toon_color_g1,mayu_toon_color_g2,mayu_toon_color_b1,mayu_toon_color_b2,eye_color_r1,eye_color_r2,eye_color_g1,eye_color_g2,eye_color_b1,eye_color_b2,tail_color_r1,tail_color_r2,tail_color_g1,tail_color_g2,tail_color_b1,tail_color_b2,tail_toon_color_r1,tail_toon_color_r2,tail_toon_color_g1,tail_toon_color_g2,tail_toon_color_b1,tail_toon_color_b2
9101,#4747FF,#E6EFF1,#B7B7B7,#808080,#6367E2,#B7B7B7,#AC8EC8,#BFBFD1,#9F9F9F,#808080,#4D3FCC,#9F9F9F,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#9F9F9F,#9F9F9F,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#9F9F9F,#9F9F9F,#403C36,#C2B4A8,#E2CEBB,#4B370E,#7B4C36,#FFCBB3,#E6CFCF,#FFFFFF,#FFFFFF,#78669F,#FFFFFF,#B7B7B7,#E6CFCF,#FFFFFF,#FFFFFF,#78669F,#FFFFFF,#9F9F9F
9102,#93994F,#727599,#ADA9E7,#585042,#1B2E58,#F9DDBB,#698235,#3E5676,#746EB7,#42401D,#1E1F2D,#F2B09E,#FFFFFF,#FFFFFF,#FFFFFF,#332521,#F2B09E,#B28275,#FFFFFF,#FFFFFF,#FFFFFF,#332521,#F2B09E,#B28275,#403029,#C2AB93,#D8B935,#461814,#553F1C,#BD1E22,#E6DBCF,#FFFFFF,#FFFFFF,#B79BF2,#FFFFFF,#F9DDBB,#E6DBCF,#FFFFFF,#FFFFFF,#B79BF2,#FFFFFF,#F2B09E
9103,#A9D1D1,#A3ECEC,#937272,#60433F,#39848E,#613F4B,#4D6C93,#3098A1,#A88D8D,#472222,#46828E,#451B32,#FFFFFF,#FFFFFF,#FFFFFF,#331425,#451B32,#80315C,#FFFFFF,#FFFFFF,#FFFFFF,#331425,#451B32,#80315C,#3E3340,#A847C2,#D890D4,#431C46,#531055,#BCB6BD,#E6CFD7,#FFFFFF,#FFFFFF,#342C45,#FFFFFF,#613F4B,#E6CFD7,#FFFFFF,#FFFFFF,#342C45,#FFFFFF,#451B32
9104,#573151,#4A8932,#56845F,#C371CB,#BC69B0,#7E466C,#37133A,#153140,#356056,#6942A9,#A14186,#5D2959,#FFFFFF,#FFFFFF,#FFFFFF,#331631,#5D2959,#80387A,#FFFFFF,#FFFFFF,#FFFFFF,#331631,#5D2959,#80387A,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#E6CFDE,#FFFFFF,#FFFFFF,#473C5D,#FFFFFF,#7E466C,#E6CFDE,#FFFFFF,#FFFFFF,#473C5D,#FFFFFF,#5D2959
9105,#453A48,#3A0C48,#36602E,#47B940,#9A7FA2,#2A4827,#211838,#0C030F,#0D3333,#269582,#5A4F80,#10301B,#FFFFFF,#FFFFFF,#FFFFFF,#12331D,#10301B,#2C8049,#FFFFFF,#FFFFFF,#FFFFFF,#12331D,#10301B,#2C8049,#383040,#6E56C2,#CBC5D8,#2F1946,#401055,#3926BD,#D1E6CF,#FFFFFF,#FFFFFF,#241F30,#FFFFFF,#2A4827,#D1E6CF,#FFFFFF,#FFFFFF,#241F30,#FFFFFF,#10301B
9106,#988454,#CAA253,#DDD6C1,#24277C,#B97A45,#9D7665,#898031,#3F3A1A,#A1977A,#1B1537,#6C4821,#886F4A,#FFFFFF,#FFFFFF,#FFFFFF,#332A1C,#886F4A,#886F4A,#FFFFFF,#FFFFFF,#FFFFFF,#332A1C,#886F4A,#886F4A,#403D25,#C2AC84,#D8CA3C,#46270C,#55420D,#BD7624,#E6D5CF,#FFFFFF,#FFFFFF,#675788,#FFFFFF,#9D7665,#E6D5CF,#FFFFFF,#FFFFFF,#675788,#FFFFFF,#886F4A
9107,#ECE6D9,#2541EC,#988A54,#5772F1,#0F3A5D,#C5AF46,#EDD6CE,#2437B0,#5E5B2D,#5969B6,#1C2136,#B08136,#FFFFFF,#FFFFFF,#FFFFFF,#332510,#B08136,#B08136,#FFFFFF,#FFFFFF,#FFFFFF,#332510,#B08136,#B08136,#403939,#C2B9B4,#D88A64,#461E10,#55411F,#BD2D28,#E6E1CF,#FFFFFF,#FFFFFF,#8570B0,#FFFFFF,#C5AF46,#E6E1CF,#FFFFFF,#FFFFFF,#8570B0,#FFFFFF,#B08136
9108,#80A0D1,#D17831,#2F414B,#D1C06C,#5B511C,#322E4B,#3F6BA2,#A3482C,#363D52,#AA8A4E,#3D2414,#1D1A3F,#FFFFFF,#FFFFFF,#FFFFFF,#181533,#1D1A3F,#3C3680,#FFFFFF,#FFFFFF,#FFFFFF,#181533,#1D1A3F,#3C3680,#1E3240,#A8BBC2,#8BD4D4,#0E2046,#365155,#3F7A9A,#D2CFE6,#FFFFFF,#FFFFFF,#2F283F,#FFFFFF,#322E4B,#D2CFE6,#FFFFFF,#FFFFFF,#2F283F,#FFFFFF,#1D1A3F
9109,#74999C,#EBF0F0,#F06B38,#D69097,#277B84,#F06B38,#6762C5,#BBD7C2,#C23B2F,#B45F94,#38879F,#C23B2F,#FFFFFF,#FFFFFF,#FFFFFF,#33100C,#C23B2F,#B2362C,#FFFFFF,#FFFFFF,#FFFFFF,#33100C,#C23B2F,#B2362C,#222040,#A5A7C2,#6B77D8,#444446,#211455,#1F3DBD,#E6D5CF,#FFFFFF,#FFFFFF,#937CC2,#FFFFFF,#F06B38,#E6D5CF,#FFFFFF,#FFFFFF,#937CC2,#FFFFFF,#C23B2F
9110,#4DD0F3,#C5DAE0,#F3B58D,#408BF3,#80574A,#E05E4D,#588BC9,#9FAECC,#D97965,#4255AF,#613241,#B94E3E,#FFFFFF,#FFFFFF,#FFFFFF,#331611,#B94E3E,#B24B3C,#FFFFFF,#FFFFFF,#FFFFFF,#331611,#B94E3E,#B24B3C,#373F40,#A6BEC2,#35D1D8,#0E4645,#134E55,#2786BD,#E6D1CF,#FFFFFF,#FFFFFF,#8B76B9,#FFFFFF,#E05E4D,#E6D1CF,#FFFFFF,#FFFFFF,#8B76B9,#FFFFFF,#B94E3E
9111,#E0DE99,#1B2D56,#E2E2BD,#7C7C77,#41A79B,#DE8846,#98965B,#1F1E2C,#D9D49E,#62615A,#4C658D,#AF583E,#FFFFFF,#FFFFFF,#FFFFFF,#331A12,#AF583E,#AF583E,#FFFFFF,#FFFFFF,#FFFFFF,#331A12,#AF583E,#AF583E,#30402B,#4CC24D,#A7D874,#144615,#28551A,#AFBD9F,#E6D9CF,#FFFFFF,#FFFFFF,#8470AF,#FFFFFF,#DE8846,#E6D9CF,#FFFFFF,#FFFFFF,#8470AF,#FFFFFF,#AF583E
9112,#76A9F7,#31548C,#7A7C7D,#F7BE46,#1B2360,#7A7C7D,#526BB9,#333750,#4A4E61,#D19059,#171524,#4A4E61,#FFFFFF,#FFFFFF,#FFFFFF,#272933,#4A4E61,#616780,#FFFFFF,#FFFFFF,#FFFFFF,#272933,#4A4E61,#616780,#40280C,#C2A276,#D8A542,#464544,#554D40,#BD5F1F,#CFD7E6,#FFFFFF,#FFFFFF,#493E61,#FFFFFF,#7A7C7D,#CFD7E6,#FFFFFF,#FFFFFF,#493E61,#FFFFFF,#4A4E61
9113,#FCBEFF,#4B5C91,#FFDA94,#808080,#9A5BA1,#FFDA94,#F1A1F9,#3B416B,#E0B18E,#808080,#503756,#E0B18E,#FFFFFF,#FFFFFF,#FFFFFF,#332820,#E0B18E,#B28D71,#FFFFFF,#FFFFFF,#FFFFFF,#332820,#E0B18E,#B28D71,#4A3521,#D99767,#FDE3B2,#351119,#2F1D07,#715227,#E6DECF,#FFFFFF,#FFFFFF,#A98FE0,#FFFFFF,#FFDA94,#E6DECF,#FFFFFF,#FFFFFF,#A98FE0,#FFFFFF,#E0B18E
9114,#C98D48,#8D8BBD,#DCDCDC,#808080,#A66D70,#D3B797,#BA6F35,#47465D,#A6A29F,#808080,#8D5E60,#8C7565,#FFFFFF,#FFFFFF,#FFFFFF,#332B25,#8C7565,#8C7565,#FFFFFF,#FFFFFF,#FFFFFF,#332B25,#8C7565,#8C7565,#4A3521,#B29E7A,#EEDF8D,#3B1E09,#7A4A11,#716A15,#E6DBCF,#FFFFFF,#FFFFFF,#6A5A8C,#FFFFFF,#D3B797,#E6DBCF,#FFFFFF,#FFFFFF,#6A5A8C,#FFFFFF,#8C7565
9115,#B24239,#BC8ECF,#FACF7E,#808080,#263C51,#FACF7E,#4C231F,#786191,#D7986B,#808080,#263C51,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#4A3521,#A18653,#FFC399,#402410,#000000,#762A17,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FACF7E,#E6DECF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6986A
9116,#F759EA,#C4DEE4,#C7C7C7,#808080,#AE89CD,#42575B,#000000,#B1C9C9,#676767,#808080,#9F70B8,#303556,#FFFFFF,#FFFFFF,#FFFFFF,#1D2033,#303556,#484F80,#FFFFFF,#FFFFFF,#FFFFFF,#1D2033,#303556,#484F80,#40363C,#C2A8BF,#B895B8,#2A196D,#838384,#8383A8,#CFE2E6,#FFFFFF,#FFFFFF,#413756,#FFFFFF,#42575B,#CFE2E6,#FFFFFF,#FFFFFF,#413756,#FFFFFF,#303556
9117,#F55144,#1E4E34,#CDB994,#808080,#8A0E01,#CDB994,#CAA3B0,#082D18,#C19574,#808080,#581B17,#C19574,#FFFFFF,#FFFFFF,#FFFFFF,#33271F,#C19574,#B28A6B,#FFFFFF,#FFFFFF,#FFFFFF,#33271F,#C19574,#B28A6B,#583514,#DCB772,#DEA39C,#80534E,#846846,#A2A5A3,#E6DECF,#FFFFFF,#FFFFFF,#927CC1,#FFFFFF,#CDB994,#E6DECF,#FFFFFF,#FFFFFF,#927CC1,#FFFFFF,#C19574
9118,#B4C3B2,#BBD4D5,#FACF7E,#808080,#599B71,#F5C56B,#999999,#658486,#D7986B,#808080,#245435,#C1A777,#FFFFFF,#FFFFFF,#FFFFFF,#332C1F,#C1A777,#B29A6E,#FFFFFF,#FFFFFF,#FFFFFF,#332C1F,#C1A777,#B29A6E,#4A3521,#D9B167,#8DA5A4,#21625A,#7A572E,#DCB47B,#E6DECF,#FFFFFF,#FFFFFF,#927CC1,#FFFFFF,#F5C56B,#E6DECF,#FFFFFF,#FFFFFF,#927CC1,#FFFFFF,#C1A777
9119,#E296C9,#1E207F,#E2E1E1,#808080,#89240D,#6B4E4C,#B96FAF,#07082D,#958989,#808080,#5B271B,#54312D,#FFFFFF,#FFFFFF,#FFFFFF,#331E1B,#54312D,#804A44,#FFFFFF,#FFFFFF,#FFFFFF,#331E1B,#54312D,#804A44,#635750,#B48C84,#8383A9,#191B57,#370769,#C57FAB,#E6D0CF,#FFFFFF,#FFFFFF,#3F3654,#FFFFFF,#6B4E4C,#E6D0CF,#FFFFFF,#FFFFFF,#3F3654,#FFFFFF,#54312D
9120,#2307E6,#5B1D88,#8A4258,#808080,#F35B6A,#8A4258,#131AB4,#320E5F,#672958,#808080,#6D2C33,#672958,#FFFFFF,#FFFFFF,#FFFFFF,#33142C,#672958,#80336D,#FFFFFF,#FFFFFF,#FFFFFF,#33142C,#672958,#80336D,#140C2B,#C78D9B,#9277B2,#BC4876,#4D0084,#CF9FE6,#E6CFD5,#FFFFFF,#FFFFFF,#4E4267,#FFFFFF,#8A4258,#E6CFD5,#FFFFFF,#FFFFFF,#4E4267,#FFFFFF,#672958
9121,#8D8C80,#F1E6F0,#CAEBEC,#808080,#A5A6CA,#CAEBEC,#BA5EAD,#CFBFD1,#B5C3C3,#808080,#7E77BC,#B5C3C3,#FFFFFF,#FFFFFF,#FFFFFF,#2F3333,#B5C3C3,#A5B2B2,#FFFFFF,#FFFFFF,#FFFFFF,#2F3333,#B5C3C3,#A5B2B2,#40363C,#C2A8BF,#D8D0D8,#464042,#554C4F,#BDB3B7,#CFE5E6,#FFFFFF,#FFFFFF,#947DC3,#FFFFFF,#CAEBEC,#CFE5E6,#FFFFFF,#FFFFFF,#947DC3,#FFFFFF,#B5C3C3
9122,#FFE5FD,#FFFFFF,#FFFFFF,#808080,#FFCDF9,#CEDBDC,#FF7FE8,#97B8B0,#E0E0E0,#808080,#7D77BC,#9AC5C1,#FFFFFF,#FFFFFF,#FFFFFF,#283332,#9AC5C1,#8CB2AE,#FFFFFF,#FFFFFF,#FFFFFF,#283332,#9AC5C1,#8CB2AE,#1A352E,#E0CBDE,#E4E4E4,#6F9792,#001E1A,#FCB9FD,#CFE4E6,#FFFFFF,#FFFFFF,#957EC5,#FFFFFF,#CEDBDC,#CFE4E6,#FFFFFF,#FFFFFF,#957EC5,#FFFFFF,#9AC5C1
9123,#9C68CF,#D19C52,#D1BA69,#808080,#415B4C,#D1BA69,#9C68CF,#986036,#B08D47,#808080,#163524,#B08D47,#FFFFFF,#FFFFFF,#FFFFFF,#332915,#B08D47,#B08D47,#FFFFFF,#FFFFFF,#FFFFFF,#332915,#B08D47,#B08D47,#352723,#A98E87,#E8CB9B,#69430C,#044613,#B89157,#E6E0CF,#FFFFFF,#FFFFFF,#8571B0,#FFFFFF,#D1BA69,#E6E0CF,#FFFFFF,#FFFFFF,#8571B0,#FFFFFF,#B08D47
9124,#EA2321,#EAE0DE,#524142,#808080,#8C183A,#524142,#FF0008,#847276,#352525,#808080,#541525,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352723,#A98E87,#C7A79E,#421614,#464013,#763639,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#524142,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
9125,#371552,#5C66A5,#DCABA9,#808080,#BF4243,#C0615D,#81308F,#3E4782,#866968,#808080,#802E2F,#954B47,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#954B47,#954B47,#FFFFFF,#FFFFFF,#FFFFFF,#331A18,#954B47,#954B47,#21274B,#BC8762,#EE8A7D,#592219,#131663,#D57775,#E6CFCF,#FFFFFF,#FFFFFF,#715F95,#FFFFFF,#C0615D,#E6CFCF,#FFFFFF,#FFFFFF,#715F95,#FFFFFF,#954B47
9126,#C5BBD1,#2446B9,#D4BEEC,#A82929,#A82929,#9D94A6,#5E5263,#132460,#B499CF,#A62323,#A62323,#866DA1,#FFFFFF,#FFFFFF,#FFFFFF,#2B2233,#866DA1,#866DA1,#FFFFFF,#FFFFFF,#FFFFFF,#2B2233,#866DA1,#866DA1,#DD45E7,#641E5C,#D6B6E7,#613E64,#531377,#D386D9,#DACFE6,#FFFFFF,#FFFFFF,#7A67A1,#FFFFFF,#9D94A6,#DACFE6,#FFFFFF,#FFFFFF,#7A67A1,#FFFFFF,#866DA1
9127,#C9FF66,#389A48,#C9FF66,#C9FF66,#5E9EE5,#FFFD8D,#86A847,#286C33,#86A847,#86A847,#3F6EA1,#D9D77E,#FFFFFF,#FFFFFF,#FFFFFF,#33331E,#D9D77E,#B2B168,#FFFFFF,#FFFFFF,#FFFFFF,#33331E,#D9D77E,#B2B168,#C6E7FF,#408EFF,#3B60FF,#3036FF,#988BFF,#4EC8FF,#E6E5CF,#FFFFFF,#FFFFFF,#A48BD9,#FFFFFF,#FFFD8D,#E6E5CF,#FFFFFF,#FFFFFF,#A48BD9,#FFFFFF,#D9D77E
9128,#070082,#5EAB74,#070082,#070082,#D14E00,#070082,#030041,#233C2A,#030041,#030041,#9A3A00,#030041,#FFFFFF,#FFFFFF,#FFFFFF,#020033,#030041,#060080,#FFFFFF,#FFFFFF,#FFFFFF,#020033,#030041,#060080,#7037CC,#BCABCC,#9F7ACC,#9F23CC,#B158CC,#AB64CC,#D0CFE6,#FFFFFF,#FFFFFF,#312A41,#FFFFFF,#070082,#D0CFE6,#FFFFFF,#FFFFFF,#312A41,#FFFFFF,#030041
9129,#FEFF9B,#83FFF3,#FEFF9B,#FEFF9B,#D9A2FF,#FEFF9B,#D5D688,#68C0B9,#D5D688,#D5D688,#A67CC3,#D5D688,#FFFFFF,#FFFFFF,#FFFFFF,#333320,#D5D688,#B2B271,#FFFFFF,#FFFFFF,#FFFFFF,#333320,#D5D688,#B2B271,#8DC4CC,#318ECC,#6EA6CC,#295CCC,#3BCCCC,#5C9FCC,#E5E6CF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FEFF9B,#E5E6CF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D5D688
9130,#600047,#006C3E,#8E2929,#A62323,#FF5900,#600047,#370029,#003F24,#4F1818,#892525,#AB3C00,#370029,#FFFFFF,#FFFFFF,#FFFFFF,#330026,#370029,#80005F,#FFFFFF,#FFFFFF,#FFFFFF,#330026,#370029,#80005F,#C5B7D9,#A675CC,#8C67D4,#9360DB,#5948BC,#CFCFD4,#E6CFE0,#FFFFFF,#FFFFFF,#2A2337,#FFFFFF,#600047,#E6CFE0,#FFFFFF,#FFFFFF,#2A2337,#FFFFFF,#370029
9131,#FFD5F9,#F3F5A4,#ECE3A9,#808080,#5FE6D7,#ECE3A9,#B47539,#E59F66,#DAA47B,#808080,#6A94AA,#DAA47B,#FFFFFF,#FFFFFF,#FFFFFF,#33261D,#DAA47B,#B28665,#FFFFFF,#FFFFFF,#FFFFFF,#33261D,#DAA47B,#B28665,#272061,#DEC18B,#DABDD4,#422C1D,#1C5C65,#D7C5AB,#E6E2CF,#FFFFFF,#FFFFFF,#A58CDA,#FFFFFF,#ECE3A9,#E6E2CF,#FFFFFF,#FFFFFF,#A58CDA,#FFFFFF,#DAA47B
9132,#F26BEF,#B4FFC5,#FBFBFB,#808080,#F97CCD,#FFB780,#B63CAC,#419D61,#B2B2B2,#808080,#743735,#C96E4A,#FFFFFF,#FFFFFF,#FFFFFF,#331C13,#C96E4A,#B26242,#FFFFFF,#FFFFFF,#FFFFFF,#331C13,#C96E4A,#B26242,#4A3521,#C7B085,#DAAD82,#591A40,#671C1C,#672A33,#E6D8CF,#FFFFFF,#FFFFFF,#9881C9,#FFFFFF,#FFB780,#E6D8CF,#FFFFFF,#FFFFFF,#9881C9,#FFFFFF,#C96E4A
9133,#F9660F,#7F7BE6,#FABF7E,#808080,#D4494F,#FAC37E,#9F2202,#424DBF,#D7986B,#808080,#761E2D,#D6996A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6996A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6996A,#B27F58,#862525,#D99D67,#FDDAB2,#91533C,#7A572E,#FFB996,#E6DBCF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FAC37E,#E6DBCF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6996A
9134,#0007EC,#89CFC9,#524142,#E2E0B3,#D1295A,#5F5051,#010009,#3D768A,#352525,#8A8C67,#4E0D41,#352524,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#FFFFFF,#FFFFFF,#FFFFFF,#332423,#352524,#805957,#352723,#A98E87,#C7A79E,#402A29,#523C39,#AD8F88,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#5F5051,#E6CFD0,#FFFFFF,#FFFFFF,#282235,#FFFFFF,#352524
9135,#F316BA,#E2D753,#524142,#808080,#8C183A,#524641,#0009D9,#5F5805,#352525,#808080,#2D2D2D,#18070F,#FFFFFF,#FFFFFF,#FFFFFF,#330F20,#18070F,#802550,#FFFFFF,#FFFFFF,#FFFFFF,#330F20,#18070F,#802550,#100A59,#A9879B,#AA7E85,#651552,#420800,#2F1027,#E6D5CF,#FFFFFF,#FFFFFF,#120F18,#FFFFFF,#524641,#E6D5CF,#FFFFFF,#FFFFFF,#120F18,#FFFFFF,#18070F
9136,#BDD5D2,#2C542A,#D1C9C9,#999999,#CAA6A5,#D1C9C9,#567873,#000000,#A49B9E,#808080,#635155,#B6AEB1,#FFFFFF,#FFFFFF,#FFFFFF,#333132,#B6AEB1,#B2ABAD,#FFFFFF,#FFFFFF,#FFFFFF,#333132,#B6AEB1,#B2ABAD,#40363C,#A59AA3,#B0B0B0,#3C0540,#4D3F54,#5F5458,#E6CFCF,#FFFFFF,#FFFFFF,#8974B6,#FFFFFF,#D1C9C9,#E6CFCF,#FFFFFF,#FFFFFF,#8974B6,#FFFFFF,#B6AEB1
9137,#FF0019,#FFFFFF,#32353F,#808080,#C11300,#32353F,#000000,#767676,#000000,#808080,#501A16,#000000,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#000000,#808080,#591705,#8D7670,#6B2C2B,#070000,#5F0F04,#501B0E,#CFD4E6,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#32353F,#CFD4E6,#FFFFFF,#FFFFFF,#000000,#FFFFFF,#000000
9138,#262626,#C72729,#5B5B5B,#808080,#FFFFFF,#5B5B5B,#000000,#8F1819,#4A4A4A,#808080,#B4B4B4,#4A4A4A,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#4A4A4A,#808080,#FFFFFF,#FFFFFF,#FFFFFF,#333333,#4A4A4A,#808080,#5F2515,#9B7471,#C78F7F,#000000,#581E16,#8A4C3D,#E6CFCF,#FFFFFF,#FFFFFF,#382F4A,#FFFFFF,#5B5B5B,#E6CFCF,#FFFFFF,#FFFFFF,#382F4A,#FFFFFF,#4A4A4A
9139,#FF2700,#564800,#FAE47E,#808080,#E84954,#FAE47E,#CAA3B0,#402D00,#D7986B,#808080,#782D2A,#D6986A,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#FFFFFF,#FFFFFF,#FFFFFF,#332419,#D6986A,#B27F58,#4A3521,#97ABB6,#FFFFFF,#215A62,#5F1B17,#CAD5D7,#E6E1CF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#FAE47E,#E6E1CF,#FFFFFF,#FFFFFF,#A289D6,#FFFFFF,#D6986A
9140,#9C68CF,#7B5D88,#414152,#808080,#B6E8E6,#414152,#9C68CF,#471A58,#2B2B3D,#808080,#4D9195,#2B2B3D,#FFFFFF,#FFFFFF,#FFFFFF,#242433,#2B2B3D,#5A5B80,#FFFFFF,#FFFFFF,#FFFFFF,#242433,#2B2B3D,#5A5B80,#4E0207,#91839D,#8A6F93,#02052B,#000000,#453E67,#CFCFE6,#FFFFFF,#FFFFFF,#2E273D,#FFFFFF,#414152,#CFCFE6,#FFFFFF,#FFFFFF,#2E273D,#FFFFFF,#2B2B3D
9141,#23208E,#C3314E,#F5F5F5,#54618E,#302D98,#90866A,#181652,#9C1B28,#674723,#29536B,#102952,#7E5B57,#FFFFFF,#FFFFFF,#FFFFFF,#332523,#7E5B57,#805D58,#FFFFFF,#FFFFFF,#FFFFFF,#332523,#7E5B57,#805D58,#3A3D40,#94A6C2,#3EABD8,#122D46,#131F55,#596EBD,#E6E0CF,#FFFFFF,#FFFFFF,#5F507E,#FFFFFF,#90866A,#E6E0CF,#FFFFFF,#FFFFFF,#5F507E,#FFFFFF,#7E5B57
9142,#417A8B,#8EC361,#D46368,#404445,#E1B133,#D46368,#1E486F,#55733B,#AD4F51,#1A2433,#C98E4E,#AD4F51,#FFFFFF,#FFFFFF,#FFFFFF,#331718,#AD4F51,#AD4F51,#FFFFFF,#FFFFFF,#FFFFFF,#331718,#AD4F51,#AD4F51,#40241B,#C2686B,#D8446C,#461320,#555252,#BD242C,#E6CFCF,#FFFFFF,#FFFFFF,#826FAD,#FFFFFF,#D46368,#E6CFCF,#FFFFFF,#FFFFFF,#826FAD,#FFFFFF,#AD4F51
9143,#1F2C57,#FFFFFF,#E1F4F1,#7A7C7C,#D44B4C,#D46031,#0D1224,#C5C5C5,#B5E2D8,#5C6260,#AD3D3B,#A64230,#FFFFFF,#FFFFFF,#FFFFFF,#33140F,#A64230,#A64230,#FFFFFF,#FFFFFF,#FFFFFF,#33140F,#A64230,#A64230,#40300C,#C29948,#D8B8A2,#46462F,#551D13,#BD9A22,#E6D5CF,#FFFFFF,#FFFFFF,#7E6AA6,#FFFFFF,#D46031,#E6D5CF,#FFFFFF,#FFFFFF,#7E6AA6,#FFFFFF,#A64230
9144,#E32F55,#FAFAFA,#460E19,#A5E3DF,#6C0607,#473534,#8E2C62,#CFCFCF,#370D16,#6D9FB4,#520507,#2D191A,#FFFFFF,#FFFFFF,#FFFFFF,#331C1D,#2D191A,#80464A,#FFFFFF,#FFFFFF,#FFFFFF,#331C1D,#2D191A,#80464A,#11403D,#4AC2C1,#BBD3D8,#454646,#555555,#A8BDBB,#E6D1CF,#FFFFFF,#FFFFFF,#221D2D,#FFFFFF,#473534,#E6D1CF,#FFFFFF,#FFFFFF,#221D2D,#FFFFFF,#2D191A
9145,#876346,#FFFFFF,#002654,#873529,#CE1126,#EDD07B,#723741,#E0E0E0,#021730,#60261C,#8C0B19,#C6975F,#FFFFFF,#FFFFFF,#FFFFFF,#332718,#C6975F,#B28856,#FFFFFF,#FFFFFF,#FFFFFF,#332718,#C6975F,#B28856,#34400E,#C0C2BA,#CED888,#404635,#555555,#BDB931,#E6E0CF,#FFFFFF,#FFFFFF,#967FC6,#FFFFFF,#EDD07B,#E6E0CF,#FFFFFF,#FFFFFF,#967FC6,#FFFFFF,#C6975F
9146,#DDAEAE,#FFFFFF,#FFFFFF,#545050,#009246,#8C4E3C,#B37C98,#B9B9B9,#B9B9B9,#443347,#025B2D,#65392A,#FFFFFF,#FFFFFF,#FFFFFF,#331C15,#65392A,#804735,#FFFFFF,#FFFFFF,#FFFFFF,#331C15,#65392A,#804735,#1C3C40,#31C2B8,#C3D2D8,#0E2746,#385055,#5C92BD,#E6D4CF,#FFFFFF,#FFFFFF,#4C4165,#FFFFFF,#8C4E3C,#E6D4CF,#FFFFFF,#FFFFFF,#4C4165,#FFFFFF,#65392A
9147,#7D5A5D,#FFFFFF,#9F1E29,#62252B,#428CD6,#9C2731,#5B354C,#D1D1D1,#581331,#431616,#326495,#531731,#FFFFFF,#FFFFFF,#FFFFFF,#330E1E,#531731,#80244C,#FFFFFF,#FFFFFF,#FFFFFF,#330E1E,#531731,#80244C,#403F40,#C2579E,#D8A3BB,#461C2B,#550D39,#BD249B,#E6CFD1,#FFFFFF,#FFFFFF,#3E3553,#FFFFFF,#9C2731,#E6CFD1,#FFFFFF,#FFFFFF,#3E3553,#FFFFFF,#531731
9148,#A6A284,#B8C337,#807B57,#F3DF4E,#F3DF4E,#807B57,#919063,#499B3D,#6B6A3D,#DFB76B,#DFB76B,#6B6A3D,#FFFFFF,#FFFFFF,#FFFFFF,#33331D,#6B6A3D,#807F49,#FFFFFF,#FFFFFF,#FFFFFF,#33331D,#6B6A3D,#807F49,#403F3B,#C2B95B,#D6D8AE,#463A11,#555024,#BDB729,#E6E3CF,#FFFFFF,#FFFFFF,#51446B,#FFFFFF,#807B57,#E6E3CF,#FFFFFF,#FFFFFF,#51446B,#FFFFFF,#6B6A3D
