id,color_r1,color_r2,color_g1,color_g2,color_b1,color_b2,toon_color_r1,toon_color_r2,toon_color_g1,toon_color_g2,toon_color_b1,toon_color_b2
8173,#E9ECF0,#EAB3CE,#D7DE24,#D7DE72,#D7DE72,#E9ECF0,#C0DCDA,#A47FC8,#D0B53F,#B6AB53,#B6AB53,#C0DCDA
8174,#a1372f,#ffe7cb,#ffe7cb,#5260b8,#5260b8,#a1372f,#702111,#fabbad,#fabbad,#4f408d,#4f408d,#702111
8175,#5260B8,#FFE1BB,#262756,#A1372F,#A1372F,#5260B8,#454074,#F7B39E,#28252E,#6E1F26,#6E1F26,#454074
8176,#d7de72,#3e3638,#ffebd9,#e9ecf0,#e9ecf0,#d7de72,#e3ae6c,#30101f,#ffbebe,#c3b7d9,#c3b7d9,#e3ae6c
8177,#68b366,#ffebd9,#ffebd9,#3e3638,#3e3638,#68b366,#258b76,#ffbebe,#ffbebe,#30101f,#30101f,#258b76
8178,#EAB3CE,#A1372F,#FFEBD9,#EA5370,#EAB3CE,#EAB3CE,#A47FC8,#6E1F26,#FFBEBE,#AB436B,#A47FC8,#A47FC8
8179,#99D2D9,#FFEBD9,#B0D9D6,#99D2D9,#99D2D9,#99D2D9,#6486AC,#FFBEBE,#7888AE,#6486AC,#6486AC,#6486AC
8180,#6c3875,#ffe7cb,#ffe7cb,#6c3875,#6c3875,#6c3875,#511960,#fabbad,#fabbad,#511960,#511960,#511960
8181,#3e3638,#68b366,#ffebd9,#99d2d9,#99d2d9,#3e3638,#30101f,#258b76,#ffbebe,#8fa8e0,#8fa8e0,#30101f
8182,#e9ecf0,#ffe1bb,#ffe1bb,#eab3ce,#eab3ce,#e9ecf0,#c3b7d9,#f7b39e,#f7b39e,#d78bce,#d78bce,#c3b7d9
8183,#A1372F,#FFE1BB,#355D3A,#68B366,#68B366,#A1372F,#6E1F26,#F7B39E,#163845,#3C8D95,#3C8D95,#6E1F26
8184,#5260B8,#3739B8,#3739B8,#D7DE72,#D7DE72,#5260B8,#454074,#382C73,#382C73,#B6AB53,#B6AB53,#454074
8185,#D7DE72,#6C3875,#FFE1BB,#6C3875,#6C3875,#D7DE72,#B6AB53,#2C1A53,#F7B39E,#2C1A53,#2C1A53,#B6AB53
8186,#68b366,#e9ecf0,#ffe7cb,#a1372f,#a1372f,#68b366,#258b76,#c3b7d9,#fabbad,#702111,#702111,#258b76
8187,#EAB3CE,#A1372F,#A11925,#E9ECF0,#E9ECF0,#EAB3CE,#A47FC8,#6E1F26,#5B1030,#C0DCDA,#C0DCDA,#A47FC8
8188,#99d2d9,#ffe1bb,#ffe1bb,#3e3638,#3e3638,#99d2d9,#8fa8e0,#f7b39e,#f7b39e,#30101f,#30101f,#8fa8e0
8189,#6c3875,#d7de72,#ffebd9,#6c3875,#6c3875,#6c3875,#511960,#e3ae6c,#ffbebe,#511960,#511960,#511960
8190,#3E3638,#99D2D9,#85747C,#3E3638,#3E3638,#3E3638,#291A25,#6486AC,#624762,#291A25,#291A25,#291A25
8191,#E9ECF0,#FFE7CB,#691777,#6C3875,#6C3875,#E9ECF0,#C0DCDA,#FABBAD,#2A1541,#2C1A53,#2C1A53,#C0DCDA
8192,#a1372f,#3e3638,#f0b370,#99d2d9,#99d2d9,#a1372f,#702111,#30101f,#c37641,#8fa8e0,#8fa8e0,#702111
8193,#5260b8,#e9ecf0,#f0b370,#eab3ce,#eab3ce,#5260b8,#4f408d,#c3b7d9,#c37641,#d78bce,#d78bce,#4f408d
8194,#D7DE72,#FFE1BB,#44B339,#68B366,#68B366,#D7DE72,#B6AB53,#F7B39E,#357E82,#3C8D95,#3C8D95,#B6AB53
8195,#68B366,#5260B8,#252C53,#D7DE72,#D7DE72,#68B366,#3C8D95,#454074,#24222A,#B6AB53,#B6AB53,#3C8D95
8196,#eab3ce,#d7de72,#ffebd9,#5260b8,#5260b8,#eab3ce,#d78bce,#e3ae6c,#ffbebe,#4f408d,#4f408d,#d78bce
8197,#99D2D9,#FFE7CB,#A16764,#A1372F,#A1372F,#99D2D9,#6486AC,#FABBAD,#7D4452,#6E1F26,#6E1F26,#6486AC
8198,#6C3875,#EAB3CE,#3B1342,#E9ECF0,#E9ECF0,#6C3875,#2C1A53,#A47FC8,#090608,#C0DCDA,#C0DCDA,#2C1A53
8199,#3e3638,#ffe1bb,#ffe1bb,#3e3638,#3e3638,#3e3638,#30101f,#f7b39e,#f7b39e,#30101f,#30101f,#30101f
8200,#E9ECF0,#6C3875,#460D4F,#E9ECF0,#E9ECF0,#E9ECF0,#C0DCDA,#2C1A53,#0F0719,#C0DCDA,#C0DCDA,#C0DCDA
8201,#A1372F,#F0B370,#411313,#A1372F,#A1372F,#A1372F,#6E1F26,#C37641,#220A08,#6E1F26,#6E1F26,#6E1F26
8202,#5260B8,#E9ECF0,#FFE7CB,#FF863A,#5260B8,#5260B8,#454074,#C0DCDA,#FABBAD,#D15236,#454074,#454074
8203,#D7DE72,#FFEBD9,#FFEBD9,#B0631E,#D7DE72,#D7DE72,#B6AB53,#FFBEBE,#FFBEBE,#874029,#B6AB53,#B6AB53
8204,#68B366,#FFE7CB,#FFE7CB,#9D68B3,#68B366,#68B366,#3C8D95,#FABBAD,#FABBAD,#4B3C91,#3C8D95,#3C8D95
8205,#EAB3CE,#D7DE72,#F0B370,#DED22E,#EAB3CE,#EAB3CE,#A47FC8,#B6AB53,#C37641,#D0A949,#A47FC8,#A47FC8
8206,#99D2D9,#68B366,#40B33F,#99D2D9,#99D2D9,#99D2D9,#6486AC,#3C8D95,#3A7781,#6486AC,#6486AC,#6486AC
8207,#6C3875,#FFE7CB,#43104C,#6C3875,#6C3875,#6C3875,#2C1A53,#FABBAD,#0F090D,#2C1A53,#2C1A53,#2C1A53
8208,#3e3638,#ffe1bb,#ffe1bb,#6c3875,#6c3875,#3e3638,#30101f,#f7b39e,#f7b39e,#511960,#511960,#30101f
8209,#e9ecf0,#a1372f,#ffe7cb,#99d2d9,#99d2d9,#e9ecf0,#c3b7d9,#702111,#fabbad,#8fa8e0,#8fa8e0,#c3b7d9
8210,#A1372F,#5260B8,#2E2757,#EAB3CE,#EAB3CE,#A1372F,#6E1F26,#454074,#181730,#A47FC8,#A47FC8,#6E1F26
8211,#5260B8,#FFE7CB,#5EB33A,#68B366,#68B366,#5260B8,#454074,#FABBAD,#347D7B,#3C8D95,#3C8D95,#454074
8212,#D7DE72,#FFE7CB,#FFE7CB,#EE9125,#D7DE72,#D7DE72,#B6AB53,#FABBAD,#FABBAD,#C9693C,#B6AB53,#B6AB53
8213,#68B366,#EAB3CE,#0E1858,#5260B8,#5260B8,#68B366,#3C8D95,#A47FC8,#0C0B1E,#454074,#454074,#3C8D95
8214,#EAB3CE,#FFE7CB,#521822,#A1372F,#A1372F,#EAB3CE,#A47FC8,#FABBAD,#1A1011,#6E1F26,#6E1F26,#A47FC8
8215,#99d2d9,#ffe1bb,#ffe1bb,#e9ecf0,#e9ecf0,#99d2d9,#8fa8e0,#f7b39e,#f7b39e,#c3b7d9,#c3b7d9,#8fa8e0
8216,#6C3875,#FFE7CB,#420E4B,#3E3638,#3E3638,#6C3875,#2C1A53,#FABBAD,#0F090D,#291A25,#291A25,#2C1A53
8217,#3e3638,#a1372f,#ffe1bb,#3e3638,#3e3638,#3e3638,#30101f,#702111,#f7b39e,#30101f,#30101f,#30101f
8218,#E9ECF0,#FFE1BB,#53504D,#E9ECF0,#E9ECF0,#E9ECF0,#C0DCDA,#F7B39E,#442E39,#C0DCDA,#C0DCDA,#C0DCDA
8219,#A1372F,#D7DE72,#A11F39,#6C3875,#6C3875,#A1372F,#6E1F26,#B6AB53,#4D1834,#2C1A53,#2C1A53,#6E1F26
8220,#5260B8,#FFE7CB,#4134B8,#B3B822,#B8B849,#5260B8,#454074,#FABBAD,#30297D,#A79238,#4E853C,#454074
8221,#D7DE72,#F0B370,#EA6B86,#EAB3CE,#EAB3CE,#D7DE72,#B6AB53,#C37641,#C4576C,#A47FC8,#A47FC8,#B6AB53
8222,#68B366,#FFE1BB,#FFE1BB,#7E8AAC,#68B366,#68B366,#3C8D95,#F7B39E,#F7B39E,#3B638B,#3C8D95,#3C8D95
8223,#EAB3CE,#FFE1BB,#CFDE36,#D7DE72,#D7DE72,#EAB3CE,#A47FC8,#F7B39E,#CFBE51,#B6AB53,#B6AB53,#A47FC8
8224,#786136,#FFE1BB,#202E85,#5260B8,#5260B8,#E49229,#625621,#F7B39E,#282547,#454074,#454074,#BE683D
8225,#6c3875,#ffe7cb,#ffe7cb,#a1372f,#a1372f,#6c3875,#511960,#fabbad,#fabbad,#702111,#702111,#511960
8226,#3e3638,#ffe7cb,#ffe7cb,#e9ecf0,#e9ecf0,#3e3638,#30101f,#fabbad,#fabbad,#c3b7d9,#c3b7d9,#30101f
8227,#E9ECF0,#D7DE72,#D5D995,#3E3638,#3E3638,#E9ECF0,#C0DCDA,#B6AB53,#C2B47C,#291A25,#291A25,#C0DCDA
8228,#A1372F,#FFE1BB,#FFE1BB,#8FACC3,#A1372F,#A1372F,#6E1F26,#F7B39E,#F7B39E,#5B88A4,#6E1F26,#6E1F26
8229,#5260B8,#FFEBD9,#22264C,#5260B8,#5260B8,#5260B8,#454074,#FFBEBE,#1E1C23,#454074,#454074,#454074
8230,#D7DE72,#521D75,#6B5875,#6C3875,#6C3875,#D7DE72,#B6AB53,#29133D,#362E51,#2C1A53,#2C1A53,#B6AB53
8231,#68B366,#6C3875,#831F94,#99D2D9,#99D2D9,#68B366,#3C8D95,#2C1A53,#3D205D,#6486AC,#6486AC,#3C8D95
8232,#eab3ce,#3e3638,#ffe7cb,#eab3ce,#eab3ce,#eab3ce,#d78bce,#30101f,#fabbad,#d78bce,#d78bce,#d78bce
8233,#99D2D9,#F0B370,#3C5933,#68B366,#68B366,#99D2D9,#6486AC,#C37641,#133E3C,#3C8D95,#3C8D95,#6486AC
8234,#6c3875,#ffe7cb,#ffe7cb,#d7de72,#d7de72,#6c3875,#511960,#fabbad,#fabbad,#e3ae6c,#e3ae6c,#511960
8235,#3E3638,#FFE7CB,#202B70,#5260B8,#5260B8,#3E3638,#291A25,#FABBAD,#201E34,#454074,#454074,#291A25
8236,#E9ECF0,#FFE7CB,#561923,#A1372F,#A1372F,#E9ECF0,#C0DCDA,#FABBAD,#1B1112,#6E1F26,#6E1F26,#C0DCDA
8237,#a1372f,#eab3ce,#ffe7cb,#e9ecf0,#e9ecf0,#a1372f,#702111,#d78bce,#fabbad,#c3b7d9,#c3b7d9,#702111
8238,#5260b8,#ffe1bb,#ffe1bb,#3e3638,#3e3638,#5260b8,#4f408d,#f7b39e,#f7b39e,#30101f,#30101f,#4f408d
8239,#D7DE72,#FFEBD9,#DCDE3E,#D7DE72,#D7DE72,#D7DE72,#B6AB53,#FFBEBE,#CDB558,#B6AB53,#B6AB53,#B6AB53
8240,#68B366,#3E3638,#FFEBD9,#5A355D,#68B366,#68B366,#3C8D95,#291A25,#FFBEBE,#241041,#3C8D95,#3C8D95
8241,#EAB3CE,#E9ECF0,#581875,#6C3875,#6C3875,#EAB3CE,#A47FC8,#C0DCDA,#22153F,#2C1A53,#2C1A53,#A47FC8
8242,#99D2D9,#A1372F,#FFE1BB,#9E7070,#99D2D9,#99D2D9,#6486AC,#6E1F26,#F7B39E,#7D4763,#6486AC,#6486AC
8243,#6C3875,#FFE1BB,#611C75,#EAB3CE,#EAB3CE,#6C3875,#2C1A53,#F7B39E,#27173F,#A47FC8,#A47FC8,#2C1A53
8244,#3E3638,#FFE7CB,#29482D,#68B366,#68B366,#3E3638,#291A25,#FABBAD,#113024,#3C8D95,#3C8D95,#291A25
8245,#E9ECF0,#FFEBD9,#655F34,#D7DE72,#D7DE72,#E9ECF0,#C0DCDA,#FFBEBE,#494E1F,#B6AB53,#B6AB53,#C0DCDA
8246,#a1372f,#f0b370,#f0b370,#5260b8,#5260b8,#a1372f,#702111,#c37641,#c37641,#4f408d,#4f408d,#702111
8247,#5260b8,#ffe7cb,#ffe7cb,#a1372f,#a1372f,#5260b8,#4f408d,#fabbad,#fabbad,#702111,#702111,#4f408d
8248,#d7de72,#3e3638,#ffe1bb,#e9ecf0,#e9ecf0,#d7de72,#e3ae6c,#30101f,#f7b39e,#c3b7d9,#c3b7d9,#e3ae6c
8249,#68B366,#E9ECF0,#33532F,#3E3638,#3E3638,#68B366,#3C8D95,#C0DCDA,#12393B,#291A25,#291A25,#3C8D95
8250,#EAB3CE,#A1372F,#FFE7CB,#5E183B,#EAB3CE,#EAB3CE,#A47FC8,#6E1F26,#FABBAD,#0B050A,#A47FC8,#A47FC8
8251,#99d2d9,#ffebd9,#ffebd9,#99d2d9,#99d2d9,#99d2d9,#8fa8e0,#ffbebe,#ffbebe,#8fa8e0,#8fa8e0,#8fa8e0
8252,#6C3875,#FFE7CB,#FFE7CB,#747175,#6C3875,#6C3875,#2C1A53,#FABBAD,#FABBAD,#453E55,#2C1A53,#2C1A53
8253,#3E3638,#FFEBD9,#4F6F70,#99D2D9,#99D2D9,#3E3638,#291A25,#FFBEBE,#343C57,#6486AC,#6486AC,#291A25
8254,#E9ECF0,#F0B370,#B3457B,#EAB3CE,#EAB3CE,#E9ECF0,#C0DCDA,#C37641,#75315F,#A47FC8,#A47FC8,#C0DCDA
8255,#A1372F,#FFE1BB,#452114,#68B366,#68B366,#A1372F,#6E1F26,#F7B39E,#2B0805,#3C8D95,#3C8D95,#6E1F26
8256,#5260b8,#f0b370,#f0b370,#d7de72,#d7de72,#5260b8,#4f408d,#c37641,#c37641,#e3ae6c,#e3ae6c,#4f408d
8257,#D7DE72,#E9ECF0,#F0B370,#E9ECF0,#E9ECF0,#D7DE72,#B6AB53,#C0DCDA,#C37641,#C0DCDA,#C0DCDA,#B6AB53
8258,#68B366,#FFEBD9,#461C15,#A1372F,#A1372F,#68B366,#3C8D95,#FFBEBE,#2D0506,#6E1F26,#6E1F26,#3C8D95
8259,#eab3ce,#ffe1bb,#ffe1bb,#e9ecf0,#e9ecf0,#eab3ce,#d78bce,#f7b39e,#f7b39e,#c3b7d9,#c3b7d9,#d78bce
8260,#99d2d9,#ffe1bb,#ffe1bb,#3e3638,#3e3638,#99d2d9,#8fa8e0,#f7b39e,#f7b39e,#30101f,#30101f,#8fa8e0
8261,#6C3875,#FFEBD9,#FFEBD9,#338DFF,#6C3875,#6C3875,#2C1A53,#FFBEBE,#FFBEBE,#3B54BA,#2C1A53,#2C1A53
8262,#3E3638,#99D2D9,#7E7778,#3E3638,#3E3638,#3E3638,#291A25,#6486AC,#60555E,#291A25,#291A25,#291A25
8263,#e9ecf0,#ffe1bb,#ffe1bb,#6c3875,#6c3875,#e9ecf0,#c3b7d9,#f7b39e,#f7b39e,#511960,#511960,#c3b7d9
8264,#A1372F,#3E3638,#5C1B25,#99D2D9,#99D2D9,#A1372F,#6E1F26,#291A25,#210A12,#6486AC,#6486AC,#6E1F26
8265,#5260B8,#FFEBD9,#1E2867,#EAB3CE,#EAB3CE,#5260B8,#454074,#FFBEBE,#1B192B,#A47FC8,#A47FC8,#454074
8266,#d7de72,#f0b370,#f0b370,#68b366,#68b366,#d7de72,#e3ae6c,#c37641,#c37641,#258b76,#258b76,#e3ae6c
8267,#68B366,#FFE1BB,#1C881A,#D7DE72,#D7DE72,#68B366,#3C8D95,#F7B39E,#195B5B,#B6AB53,#B6AB53,#3C8D95
8268,#eab3ce,#ffebd9,#ffebd9,#5260b8,#5260b8,#eab3ce,#d78bce,#ffbebe,#ffbebe,#4f408d,#4f408d,#d78bce
8269,#99D2D9,#68B366,#49B337,#A1372F,#A1372F,#99D2D9,#6486AC,#3C8D95,#348081,#6E1F26,#6E1F26,#6486AC
8270,#6C3875,#EAB3CE,#6B5675,#E9ECF0,#E9ECF0,#6C3875,#2C1A53,#A47FC8,#343052,#C0DCDA,#C0DCDA,#2C1A53
8271,#3E3638,#F0B370,#A38E92,#3E3638,#3E3638,#3E3638,#291A25,#C37641,#8A7075,#291A25,#291A25,#291A25
8272,#E9ECF0,#FFE7CB,#7C7F80,#E9ECF0,#E9ECF0,#E9ECF0,#C0DCDA,#FABBAD,#4C5564,#C0DCDA,#C0DCDA,#C0DCDA
8273,#A1372F,#3E3638,#591A28,#A1372F,#A1372F,#A1372F,#6E1F26,#291A25,#1E0A11,#6E1F26,#6E1F26,#6E1F26
8274,#5260B8,#E9ECF0,#273257,#5260B8,#5260B8,#5260B8,#454074,#C0DCDA,#26252E,#454074,#454074,#454074
8275,#D7DE72,#A1372F,#F0B370,#DEDED2,#D7DE72,#D7DE72,#B6AB53,#6E1F26,#C37641,#CAC2BB,#B6AB53,#B6AB53
8276,#68B366,#5260B8,#2C295D,#68B366,#68B366,#68B366,#3C8D95,#454074,#1B1921,#3C8D95,#3C8D95,#3C8D95
8277,#EAB3CE,#D7DE72,#DED725,#EAB3CE,#EAB3CE,#EAB3CE,#A47FC8,#B6AB53,#D1AB41,#A47FC8,#A47FC8,#A47FC8
8278,#99D2D9,#68B366,#FFE1BB,#40BB3D,#99D2D9,#99D2D9,#6486AC,#3C8D95,#F7B39E,#3A858B,#6486AC,#6486AC
8279,#6C3875,#FFE1BB,#4B1375,#6C3875,#6C3875,#6C3875,#2C1A53,#F7B39E,#250E3E,#2C1A53,#2C1A53,#2C1A53
8280,#3E3638,#FFE1BB,#88767B,#6C3875,#6C3875,#3E3638,#291A25,#F7B39E,#654A5F,#2C1A53,#2C1A53,#291A25
8281,#e9ecf0,#a1372f,#ffe1bb,#99d2d9,#99d2d9,#e9ecf0,#c3b7d9,#702111,#f7b39e,#8fa8e0,#8fa8e0,#c3b7d9
8282,#a1372f,#ffe7cb,#ffe7cb,#eab3ce,#eab3ce,#a1372f,#702111,#fabbad,#fabbad,#d78bce,#d78bce,#702111
8283,#5260B8,#F0B370,#23324E,#68B366,#68B366,#5260B8,#454074,#C37641,#1F1F26,#3C8D95,#3C8D95,#454074
8284,#D7DE72,#FFE1BB,#CADE3B,#D7DE72,#D7DE72,#D7DE72,#B6AB53,#F7B39E,#74BF49,#B6AB53,#B6AB53,#B6AB53
8285,#68B366,#FFE7CB,#272452,#5260B8,#5260B8,#68B366,#3C8D95,#FABBAD,#242129,#454074,#454074,#3C8D95
8286,#EAB3CE,#99D2D9,#5D1B29,#A1372F,#A1372F,#EAB3CE,#A47FC8,#6486AC,#220B14,#6E1F26,#6E1F26,#A47FC8
8287,#99d2d9,#f0b370,#f0b370,#e9ecf0,#e9ecf0,#99d2d9,#8fa8e0,#c37641,#c37641,#c3b7d9,#c3b7d9,#8fa8e0
8288,#6c3875,#ffebd9,#ffebd9,#3e3638,#3e3638,#6c3875,#511960,#ffbebe,#ffbebe,#30101f,#30101f,#511960
8289,#3E3638,#FFE1BB,#FFE1BB,#DA3B62,#3E3638,#3E3638,#291A25,#F7B39E,#F7B39E,#843163,#291A25,#291A25
8290,#E9ECF0,#5260B8,#FFE1BB,#5260B8,#E9ECF0,#E9ECF0,#C0DCDA,#454074,#F7B39E,#454074,#C0DCDA,#C0DCDA
8291,#a1372f,#ffe7cb,#ffe7cb,#6c3875,#6c3875,#a1372f,#702111,#fabbad,#fabbad,#511960,#511960,#702111
8292,#645F41,#FFE7CB,#EDD22D,#FFD936,#EDD56A,#E9ECF0,#503831,#FABBAD,#DDA84B,#EBAF56,#C5994D,#C0DCDA
8293,#D7DE72,#FFEBD9,#EA6ECC,#EAB3CE,#EAB3CE,#D7DE72,#B6AB53,#FFBEBE,#C847CA,#A47FC8,#A47FC8,#B6AB53
8294,#8193B0,#FFE1BB,#5F5B46,#585F14,#37598E,#A1A859,#41738F,#F7B39E,#43491F,#122D0F,#2E4464,#807A3B
8295,#EAB3CE,#F0B370,#E7F343,#D7DE72,#D7DE72,#EAB3CE,#A47FC8,#C37641,#E3CE60,#B6AB53,#B6AB53,#A47FC8
8296,#99D2D9,#FFE7CB,#3E3638,#3E3638,#3E3638,#99D2D9,#6486AC,#FABBAD,#291A25,#291A25,#291A25,#6486AC
8297,#6C3875,#F0B370,#561923,#A1372F,#A1372F,#6C3875,#2C1A53,#C37641,#1C1112,#6E1F26,#6E1F26,#2C1A53
8298,#3E3638,#FFE1BB,#87767A,#E9ECF0,#E9ECF0,#3E3638,#291A25,#F7B39E,#654A5E,#C0DCDA,#C0DCDA,#291A25
8299,#E9ECF0,#F0B370,#85747D,#3E3638,#3E3638,#E9ECF0,#C0DCDA,#C37641,#624863,#291A25,#291A25,#C0DCDA
8300,#A1372F,#FFE1BB,#A11C2C,#A1372F,#A1372F,#A1372F,#6E1F26,#F7B39E,#581233,#6E1F26,#6E1F26,#6E1F26
8301,#5260B8,#EAB3CE,#EA6D9A,#5260B8,#5260B8,#5260B8,#454074,#A47FC8,#C4597E,#454074,#454074,#454074
8302,#D7DE72,#FFEBD9,#DECA2E,#6C3875,#6C3875,#D7DE72,#B6AB53,#FFBEBE,#CCA049,#2C1A53,#2C1A53,#B6AB53
8303,#68B366,#6C3875,#32532F,#99D2D9,#99D2D9,#68B366,#3C8D95,#2C1A53,#12383B,#6486AC,#6486AC,#3C8D95
8304,#EAB3CE,#F0B370,#B14C7E,#EAB3CE,#EAB3CE,#EAB3CE,#A47FC8,#C37641,#783660,#A47FC8,#A47FC8,#A47FC8
8305,#99d2d9,#f0b370,#f0b370,#68b366,#68b366,#99d2d9,#8fa8e0,#c37641,#c37641,#258b76,#258b76,#8fa8e0
8306,#6c3875,#a1372f,#ffe7cb,#d7de72,#d7de72,#6c3875,#511960,#702111,#fabbad,#e3ae6c,#e3ae6c,#511960
8307,#3E3638,#FFEBD9,#131A49,#5260B8,#5260B8,#3E3638,#291A25,#FFBEBE,#08080E,#454074,#454074,#291A25
8308,#E9ECF0,#68B366,#727275,#A1372F,#A1372F,#E9ECF0,#C0DCDA,#3C8D95,#445057,#6E1F26,#6E1F26,#C0DCDA
8309,#a1372f,#eab3ce,#ffebd9,#e9ecf0,#e9ecf0,#a1372f,#702111,#d78bce,#ffbebe,#c3b7d9,#c3b7d9,#702111
8310,#5260B8,#252653,#252653,#3E3638,#3E3638,#5260B8,#454074,#25222A,#25222A,#291A25,#291A25,#454074
8311,#D7DE72,#FFE1BB,#FFE1BB,#9677DE,#D7DE72,#D7DE72,#B6AB53,#F7B39E,#F7B39E,#6350AB,#B6AB53,#B6AB53
8312,#68b366,#3e3638,#ffe1bb,#68b366,#68b366,#68b366,#258b76,#30101f,#f7b39e,#258b76,#258b76,#258b76
8313,#EAB3CE,#FFE1BB,#422533,#6C3875,#6C3875,#EAB3CE,#A47FC8,#F7B39E,#270B1E,#2C1A53,#2C1A53,#A47FC8
8314,#99D2D9,#A1372F,#19484E,#99D2D9,#99D2D9,#99D2D9,#6486AC,#6E1F26,#193233,#6486AC,#6486AC,#6486AC
8315,#6c3875,#ffebd9,#ffebd9,#eab3ce,#eab3ce,#6c3875,#511960,#ffbebe,#ffbebe,#d78bce,#d78bce,#511960
8316,#3E3638,#68B366,#30522F,#68B366,#68B366,#3E3638,#291A25,#3C8D95,#183726,#3C8D95,#3C8D95,#291A25
8317,#e9ecf0,#ffe1bb,#ffe1bb,#d7de72,#d7de72,#e9ecf0,#c3b7d9,#f7b39e,#f7b39e,#e3ae6c,#e3ae6c,#c3b7d9
8318,#a1372f,#ffebd9,#ffebd9,#5260b8,#5260b8,#a1372f,#702111,#ffbebe,#ffbebe,#4f408d,#4f408d,#702111
8319,#5260B8,#6C3875,#191F43,#A1372F,#A1372F,#5260B8,#454074,#2C1A53,#15141B,#6E1F26,#6E1F26,#454074
8320,#D7DE72,#F0B370,#DADE38,#E9ECF0,#E9ECF0,#D7DE72,#B6AB53,#C37641,#CFB653,#C0DCDA,#C0DCDA,#B6AB53
8321,#68b366,#ffe1bb,#ffe1bb,#3e3638,#3e3638,#68b366,#258b76,#f7b39e,#f7b39e,#30101f,#30101f,#258b76
8322,#EAB3CE,#FFE1BB,#EA6494,#EAB3CE,#EAB3CE,#EAB3CE,#A47FC8,#F7B39E,#B05082,#A47FC8,#A47FC8,#A47FC8
8323,#99d2d9,#ffe1bb,#ffe1bb,#99d2d9,#99d2d9,#99d2d9,#8fa8e0,#f7b39e,#f7b39e,#8fa8e0,#8fa8e0,#8fa8e0
8324,#6C3875,#D7DE72,#F0B370,#44752A,#6C3875,#6C3875,#2C1A53,#B6AB53,#C37641,#174345,#2C1A53,#2C1A53
8325,#3E3638,#68B366,#5C7683,#99D2D9,#99D2D9,#3E3638,#291A25,#3C8D95,#314C66,#6486AC,#6486AC,#291A25
8326,#e9ecf0,#eab3ce,#ffe7cb,#eab3ce,#eab3ce,#e9ecf0,#c3b7d9,#d78bce,#fabbad,#d78bce,#d78bce,#c3b7d9
8327,#A1372F,#99D2D9,#365F3C,#68B366,#68B366,#A1372F,#6E1F26,#6486AC,#163846,#3C8D95,#3C8D95,#6E1F26
8328,#5260b8,#f0b370,#f0b370,#d7de72,#d7de72,#5260b8,#4f408d,#c37641,#c37641,#e3ae6c,#e3ae6c,#4f408d
8329,#d7de72,#ffe7cb,#ffe7cb,#5260b8,#5260b8,#d7de72,#e3ae6c,#fabbad,#fabbad,#4f408d,#4f408d,#e3ae6c
8330,#68b366,#e9ecf0,#f0b370,#a1372f,#a1372f,#68b366,#258b76,#c3b7d9,#c37641,#702111,#702111,#258b76
8331,#eab3ce,#a1372f,#ffe1bb,#e9ecf0,#e9ecf0,#eab3ce,#d78bce,#702111,#f7b39e,#c3b7d9,#c3b7d9,#d78bce
8332,#99D2D9,#847373,#FFE7CB,#3E3638,#3E3638,#99D2D9,#6486AC,#66525D,#FABBAD,#291A25,#291A25,#6486AC
8333,#6C3875,#D7DE72,#54195E,#6C3875,#6C3875,#6C3875,#2C1A53,#B6AB53,#180D1F,#2C1A53,#2C1A53,#2C1A53
8334,#3E3638,#99D2D9,#FFE1BB,#0F3E31,#3E3638,#3E3638,#291A25,#6486AC,#F7B39E,#082310,#291A25,#291A25
8335,#e9ecf0,#6c3875,#ffe7cb,#6c3875,#6c3875,#e9ecf0,#c3b7d9,#511960,#fabbad,#511960,#511960,#c3b7d9
8336,#A1372F,#F0B370,#40A0D9,#99D2D9,#99D2D9,#A1372F,#6E1F26,#C37641,#1F4DAB,#6486AC,#6486AC,#6E1F26
8337,#5260B8,#FFE1BB,#EA4FB2,#EAB3CE,#EAB3CE,#5260B8,#454074,#F7B39E,#984A93,#A47FC8,#A47FC8,#454074
8338,#D7DE72,#F0B370,#53B33B,#68B366,#68B366,#D7DE72,#B6AB53,#C37641,#367D7F,#3C8D95,#3C8D95,#B6AB53
8339,#68b366,#ffe1bb,#ffe1bb,#d7de72,#d7de72,#68b366,#258b76,#f7b39e,#f7b39e,#e3ae6c,#e3ae6c,#258b76
8340,#eab3ce,#d7de72,#ffe7cb,#5260b8,#5260b8,#eab3ce,#d78bce,#e3ae6c,#fabbad,#4f408d,#4f408d,#d78bce
8341,#99d2d9,#68b366,#f0b370,#a1372f,#a1372f,#99d2d9,#8fa8e0,#258b76,#c37641,#702111,#702111,#8fa8e0
8342,#6c3875,#eab3ce,#ffe1bb,#e9ecf0,#e9ecf0,#6c3875,#511960,#d78bce,#f7b39e,#c3b7d9,#c3b7d9,#511960
8343,#3e3638,#f0b370,#f0b370,#3e3638,#3e3638,#3e3638,#30101f,#c37641,#c37641,#30101f,#30101f,#30101f
8344,#e9ecf0,#f0b370,#f0b370,#e9ecf0,#e9ecf0,#e9ecf0,#c3b7d9,#c37641,#c37641,#c3b7d9,#c3b7d9,#c3b7d9
8345,#a1372f,#3e3638,#ffe7cb,#a1372f,#a1372f,#a1372f,#702111,#30101f,#fabbad,#702111,#702111,#702111
8346,#5260B8,#FFE1BB,#1F2446,#5260B8,#5260B8,#5260B8,#454074,#F7B39E,#1A181E,#454074,#454074,#454074
